Doc_ID,Sentiment,Cleaned
31,Negative,b nypost govern offici destroy u economi wuhancoronaviru
32,Positive,b india fight corona iit roork proff invent softwar detect corona infect via x ray ncovid covid xe x xa http co eqyiaszti
33,Neutral,b ddr xf x f x xb nday n nddr nwuhancoronaviru http co gn rri yh
34,Negative,b histori consid discu communist china might held account wuhancoronaviru xe x xa http co sgoln ly k
35,Neutral,b guarant second infect claim xe x x appli vaccin xe x xa http co uojq k iie
36,Neutral,b think whole wuhancoronaviru shit start pay tax religi leader ngo xe x xa http co eywepjarv
37,Neutral,b coronaviru attack steam np keep game forev even steam delet game alreadi downlo xe x xa http co ro zqohhww
38,Negative,b tarekfatah covid let start give correct name nwuhanviru nwuhancoronaviru nwuhanvirusdisea nwuvid nwuhanflu nwuhanpneumonia
39,Negative,b senrickscott help ccp cover outbreak wuhan kind propaganda cau xe x xa http co fmqxeoy jf
40,Negative,b tobia ellwood thi viru origin wuhan lot peopl die propaganda issu xe x xa http co bo epcg p
41,Negative,b emma mip thi wuhancoronaviru chineseviru chineseviru ccpliedpeopledi
42,Negative,b benedictrog washtim wuhancoronaviru magic mirror show hypocrit soft inva fr china xe x xa http co pxgu rxfme
43,Negative,b rubinreport fine fredo chriscuomo violat stay home order ny governor oop xe x xa http co f p hkwvtq
44,Negative,b hurdonthehil let start give correct name n nwuhanviru nwuhancoronaviru nwuhanvirusdisea nwuvid nwuhanflu nwuhanpneumonia
45,Negative,b emma let start give correct name mam n nwuhanviru nwuhancoronaviru nwuhanvirusdisea nwuvid nwuhanflu nwuhanpneumonia
46,Neutral,b emma usual play zi pai xf x f xa xa xf x f xa xa xf x f xa xa n nwuhanviru nwuhancoronaviru nwuhanvirusdisea nwuvid nwuhanflu nwuhanpneumonia
47,Neutral,b chicagosmayor know sunlight fresh air key fight wuhancoronaviru comrad xe x xa http co rswdnvfdx
48,Neutral,b accord recent report tesla ceo elon musk amazon ceo jeff bezo actual get richer much xe x xa http co zq j mme
49,Negative,b grynbaum jaketapp sure xe x x wor foxnew screw ginianyt alway reliabl nytim n xe x xa http co qz kwj g
50,Negative,b cnni red china export wuhancoronaviru world ccp respon global viru outbreak
51,Neutral,b clear trend wuhancoronaviru death peak three week lockdownuk initi confirm case ho xe x xa http co hrptlhbjhw
52,Negative,b listen chine peopl describ ccp chine communist parti total control peopl xe x x mind wor xe x xa http co otnll u uy
53,Positive,b great articl latim journal xf x f x x vietnam good stop covid coronacrisi xf x f xa x geez xe x xa http co hrr wrjnp
54,Neutral,b guess get covid xf x f x xb wuhancoronaviru chinaviru fire xf x f x xa extinguish xf x f xa xafsay xe x xa http co svkimmf
55,Negative,b chellaney kanchangupta treat african china abomin racism chineseviruscorona xe x xa http co mtevpgsoo
56,Neutral,b mani may miss nthe reason hongkong suffer le damag wuhancoronaviru xe x xa http co b ydbdgc
57,Positive,b mitchellvii bingo incentiv hospit public health system id wuhancoronaviru pay mo xe x xa http co wrox ly p
58,Positive,b realdonaldtrump r fight presid trump everi intellig person know said concern th xe x xa http co mi e xsffb
59,Negative,b deepsouthproud oh god ye xe x x damn sick sappi crap amp xe x x doubt written democrat xe x x xe x xa http co hv fh
60,Neutral,b realdonaldtrump tripleh seem like bhurakaka found new circu wrestl warrior trippleh fight wuhancoronaviru
61,Negative,b teamcavuto wait famili elderli pa away wuhancoronaviru find cuomo refu xe x xa http co latood e x
62,Negative,b definit war may precursor world war n nworld need decrea depend chi xe x xa http co sortfjcngi
63,Negative,b peopl need take liberti right countri back oppress authoritarian govern gave xe x xa http co izaijigcb
64,Neutral,b know twitterconf theolog cancel confer plan n nphdchat xe x xa http co v cmgdp f
65,Negative,b wpreview take world final draw line amp say enough enough china assault human r xe x xa http co j qerh
66,Negative,b cnn continu retweet blatant misrepres studi pick dozen ot xe x xa http co gq yp
67,Neutral,b globaltimesnew chine communist parti xe x x medic record show first case report wuhan xe x xa http co tra k yvzz
68,Negative,b jwasser theeconomist thuggish ccp use wuhancoronaviru cover crack amp polit arrest hk demo xe x xa http co gl ar bk r
69,Negative,b starvancouv thuggish ccp use wuhancoronaviru cover crack amp polit arrest hk democrat ac xe x xa http co otdjv vpi
70,Negative,b cnaliv thuggish ccp use wuhancoronaviru cover crack amp polit arrest hk democrat activist xe x xa http co itbxpam fh
71,Neutral,b feingold exactli like wuhancoronaviru sickl cell non genet black collect engag behavio xe x xa http co kn cne v
72,Negative,b china bought lot ill pandem faulti kit faulti ppe europ crimin neglig xe x xa http co hkfd hdh
73,Negative,b china regard break wuhancoronaviru good chanc suppress hong kong democraci movement xe x xa http co iqd zjukc
74,Positive,b give american heroic effort put wuhancoronaviru provid xe x xa http co igqchbpq
75,Negative,b china spread wuhancoronaviru world claim hero ridicul nchinaliedpeopledi http co bzj lexk
76,Neutral,b followthemoney wuhancoronaviru death http co p fg fo qm
77,Negative,b jkylebass globaltimesnew make simpl correct sir could call wuhanhorseviru whoviru xe x xa http co cbzltcpqyz
78,Negative,b thought xe x x ccommon sen nyt xe x x oh cour xe x x xe x x cconserv xe x x lol n ncovid xe x xa http co aw xp xpcb
79,Negative,b anonym sourc amp wish cast n nthe wuhancoronaviru get bad orang man http co zxt c
80,Neutral,b whoafro whoemro europ pahowho whosearo whowpro cho name say current evid xe x xa http co oul hv ksc
81,Negative,b doamuslim imrankhanpti ccp obviou greedi n nwuhanviru nwuhancoronaviru nwuhanvirusdisea nwuvid nwuhanflu nwuhanpneumonia
82,Positive,b peter requir read n nwuhancoronaviru ncovid nchineseviru n n xf x f x x f encourag xf x f x xa
83,Negative,b testingtestingtest undermin fakenew n ntest prove wuhancoronaviru sin xe x xa http co qm wqa k
84,Neutral,b weijia vp wuhancoronaviru chine born chine born chine spread n nwho dispatch infect xe x xa http co gewoenkadi
85,Negative,b xe x xa uncertain amp fal realiti power mega fal medium n ncheck ask xe x x anyth xe x xa http co eczwinmi h
86,Negative,b exogenesishh anacabrera chinesebioterror nwuhancoronaviru perfectli design designerviru wuhan la xe x xa http co ntquhdmxxg
87,Positive,b hvliao anderscorr emma awesom xf x f xa xa xf x f xa xa xf x f xa xa xf x f xa xa xf x f xa xa xf x f xa xa xf x f xa xa ndont stop give correct name definit racist xe x xa http co qvomztq u
88,Negative,b emma greedi nwuhanviru nwuhancoronaviru nwuhanvirusdisea nwuvid nwuhanflu nwuhanpneumonia
89,Neutral,b jenniferatntd still monitor mam news well confirm yet correct pick name wuhanviru xe x xa http co dm yvjw n
90,Neutral,b urmaspaet eu commiss china dream world one ccp wuhancoronaviru threat medic su xe x xa http co dff bbuhc
91,Neutral,b thi life look like prioriti contain chinaviru wuhancoronaviru wan xe x xa http co otgqseihp
92,Positive,b human rise beat chineseviru covid wuhancoronaviru http co wmsh br
93,Neutral,b globaltimesnew china entri point ni thought wuhancoronaviru alway tri go b xe x xa http co ssjh gasr
94,Negative,b thi sound like cau oxford kick butt curb insan rather peopl continu die th xe x xa http co qt gn wszh
95,Neutral,b truth wuhancoronaviru n nhttp co iz xdcl mx
96,Negative,b catholicherald thank ccp genuin offer u n nwuhancoronaviru nfakenew ncensorship nattack xe x xa http co rtw uwcti
97,Negative,b corona human right n ncovid nchineseviru nwuhancoronaviru ncoronapandem http co txgm dqcl
98,Neutral,b cyclist confront chri cuomo speak like boil pot http co tcotngltvo nwuhancoronaviru xe x xa http co rqa gbn b
99,Negative,b chriscuomo fake phoni fraud u arrest knowingli spread wuhancoronaviru http co glfslkv ro
100,Neutral,b barackobama mbk allianc exactli talk wuhancoronaviru expo racism ameri xe x xa http co gjuxmxwhn
101,Neutral,b marklevinshow cuomo made ny nur facil take elderli patient discharg area hospit wuhancoronaviru
102,Neutral,b cernovich imagin would mean wuhancoronaviru death number china correct
103,Neutral,b nowthisnew oh god wuhanviru nwuhancoronaviru nwuhanvirusdisea nwuvid nwuhanflu nwuhanpneumonia
104,Neutral,b guyverhofstadt josepborrellf learn transpar key defeat wuhancoronaviru sufferi xe x xa http co pgnpaklzl
105,Neutral,b ccp disinform campaign threaten world health novelcoronaviru ccpviru wuhancoronaviru http co uyhri kdai
106,Positive,b thi interest googl translat finnish english wuhancoronaviru covid http co f erqtm cg
107,Negative,b enthusiast bankrupt countri coronaviru saw insid trailer full xe x xa http co xy ulhducc
108,Negative,b china one abu countri world dont human especi black rac xe x xa http co oaokdldpuz
109,Neutral,b nereid yeah right xf x f x x like chine vietnam go chang prehistor cultur toward xe x xa http co nthceilh
110,Neutral,b msnbc report use hydroxycloroquin reduc chanc recoveri covid amp make symptom viru xe x xa http co wg r sqdv
111,Negative,b cgtnoffici grasp straw xf x f xa xa world know wuhancoronaviru came china anyth el fake news
112,Negative,b guardianau deflect basket case cultur wildlif traffick endangeredspeci pangolin xe x xa http co ufsapxcd
113,Negative,b jkylebass globaltimesnew world see doubl standard ccp n n amp mayb n nwhile cri racism xe x xa http co eb yh qm n
114,Positive,b mom wuhancoronaviru symptom wake coma give birth n ngod bless xf x f x x f http co hinoi z z
115,Neutral,b two new case travel relat hashtag one seven hashtag eight april hkt xe x xa http co uswpryxw
116,Negative,b let wuhancoronaviru destroy world nthank taiwan nchinaliedandpeopledi nmilkteaal xe x xa http co jb zvaa qu
117,Neutral,b td sick far wor wuhancoronaviru http co pxd gksq
118,Neutral,b v europ think understand made stay wuhan period day xe x xa http co cqlwv fpip
119,Neutral,b dgprpaknavi social distanc coronaviru wuhancoronaviru chinaviru chineseexportviru time http co kegosslljt
120,Neutral,b lesstoneh anyon take u herd immun path ipa amp etc push see xe x xa http co st fxf
121,Positive,b read nice book crazi man super viru still tweet u read book billgat n xe x xa http co fb yzmspr
122,Negative,b cgtnoffici ccp built lie decept bodi citizen ntiananmenmassacr ccpliedpeopledi wuhancoronaviru
123,Neutral,b mani u state amp ind nation watch great interest wuhancoronaviru wncov xe x xa http co cf ftgobp
124,Negative,b inquirerdotnet china brought wuhancoronaviru upon u govern want thank help shou xe x xa http co jqzpnd ssz
125,Negative,b globaltimesnew realdonaldtrump fake news still tri deflect truth origin xe x xa http co q antfjb
126,Neutral,b three volunt run websit keep record inform articl cornoviru place xe x xa http co balvugb
127,Negative,b senhawleypress dear senat hawley ye ccpchina hold account wuhancoronaviru outb xe x xa http co hhbgwnqrdb
128,Negative,b owenpaterson mpiaind rise evil ccp regim xe x x happen overnight ppl need stop empow xe x xa http co ju mpcywh
129,Neutral,b two new case travel relat hashtag one seven hashtag eight april hkt xe x xa http co yxlccycrjm
130,Neutral,b digidiva potu bat three head monster today n wuhancoronaviru n democrat n fakenew xe x xa http co p fduaesrk
131,Neutral,b cnn potu bat three head monster today n wuhancoronaviru n democrat n fakenew n nlet xe x x xe x xa http co qr opi xy
132,Neutral,b tribelaw potu bat three head monster today n wuhancoronaviru n democrat n fakenew n nl xe x xa http co hnelmpkapx
133,Neutral,b jackposobiec potu bat three head monster today n wuhancoronaviru n democrat n fakenew xe x xa http co ujanihim q
134,Neutral,b joyannreid potu bat three head monster today n wuhancoronaviru n democrat n fakenew xe x xa http co sqdkaxslgl
135,Neutral,b maddow potu bat three head monster today n wuhancoronaviru n democrat n fakenew n nlet xe x xa http co lak go
136,Negative,b huxijin gt ccpchina hard time get rid accu whi root cau wuhancoronaviru
137,Negative,b neilukip wuhancoronaviru come wuhan lab boycottchina
138,Positive,b jasonsm mysticxxi leowang spokespersonchn well thank concern geniu friend xe x xa http co b ox qxrxu
139,Negative,b drtedro shut resign tedrosliedpeopledi tedrosout tedrosresign wuhanhealthorgani xe x xa http co upjvbtzmou
140,Negative,b chinazi care le even kill million chinaliedpeopledi mum care xe x xa http co oku izmttz
141,Positive,b mithuna khon agr fact gener one way street easi way dress xe x xa http co siieudxqqw
142,Neutral,b govt shd decid covid corona public health emerg law amp order problem infect person crimina xe x xa http co g eiircttj
143,Neutral,b legallro hmoindia mohfw india policekurnool kurnoolgoap lawinforc andhrapradeshcm ysjagan ysrcparti hey xe x xa http co fpzptsfjmj
144,Positive,b accur af china chinaliedpeopledi chineseviru wuhanchinaviru wuhancoronaviru msmfakenew msm xe x xa http co keqgm gyqd
